Ticker,Action (Buy/Sell),Position value,Stock price,Action volume ($USD Est.),New position ROI (%),Date recorded (publish date)
bll,buy,8000.0,65.07,8000.0,1,2019-06-12
nsc,buy,8000.0,194.24,8000.0,1,2019-06-12
mmp,buy,8000.0,50.48,8000.0,1,2019-06-12
bmy,buy,15840.0,42.16,16000.0,0.98,2019-06-12
antm,buy,16400.0,273.14,16000.0,1.05,2019-06-12
ups,buy,8000.0,92.63,8000.0,1,2019-06-12
tjx,buy,8000.0,50.08,8000.0,1,2019-06-12
lng,buy,8000.0,66.0,8000.0,1,2019-06-12
oxy,buy,8000.0,45.32,8000.0,1,2019-06-12
cvs,buy,40175.0,50.89,40500.0,0.99,2019-06-12
biib,buy,16160.0,232.81,16000.0,1.02,2019-06-12
axp,buy,8000.0,120.0,8000.0,1,2019-06-12
ba,buy,16160.0,349.14,16000.0,1.02,2019-06-12
msft,buy,86750.0,131.34,83000.0,1.05,2019-06-12
lrcx,buy,8000.0,183.75,8000.0,1,2019-06-12
mmc,buy,8000.0,94.82,8000.0,1,2019-06-12
gpn,buy,16800.0,159.95,16000.0,1.1,2019-06-12
chtr,buy,16400.0,397.68,16000.0,1.05,2019-06-12
aptv,buy,8000.0,75.14,8000.0,1,2019-06-12
mdt,buy,16960.0,92.06,16000.0,1.12,2019-06-12
xom,buy,8000.0,63.08,8000.0,1,2019-06-12
ice,buy,8000.0,83.29,8000.0,1,2019-06-12
vz,buy,8000.0,49.81,8000.0,1,2019-06-12
hal,buy,8000.0,20.96,8000.0,1,2019-06-12
syk,buy,8000.0,192.05,8000.0,1,2019-06-12
f,buy,8000.0,9.27,8000.0,1,2019-06-12
etn,buy,8000.0,44.51,8000.0,1,2019-06-12
cme,buy,16640.0,186.03,16000.0,1.08,2019-06-12
ftv,buy,8000.0,65.91,8000.0,1,2019-06-12
cost,buy,8000.0,248.28,8000.0,1,2019-06-12
vrtx,buy,16240.0,174.88,16000.0,1.03,2019-06-12
dd,buy,8000.0,70.57,8000.0,1,2019-06-12
mnst,buy,8000.0,65.75,8000.0,1,2019-06-12
wba,buy,16080.0,48.38,16000.0,1.01,2019-06-12
fisv,buy,16560.0,90.58,16000.0,1.07,2019-06-12
fis,buy,8000.0,119.62,8000.0,1,2019-06-12
amgn,buy,8000.0,167.61,8000.0,1,2019-06-12
pep,buy,8000.0,125.23,8000.0,1,2019-06-12
pfe,buy,8000.0,36.75,8000.0,1,2019-06-12
hon,buy,8000.0,164.05,8000.0,1,2019-06-12
jnj,buy,16160.0,130.83,16000.0,1.02,2019-06-12
rtlr,buy,8000.0,15.83,8000.0,1,2019-06-12
pg,buy,8000.0,102.45,8000.0,1,2019-06-12
cop,buy,8000.0,54.15,8000.0,1,2019-06-12
bsx,buy,16960.0,41.45,16000.0,1.12,2019-06-12
blk,buy,8000.0,422.17,8000.0,1,2019-06-12
dis,buy,41475.0,136.09,40500.0,1.03,2019-06-12
acn,buy,16560.0,180.24,16000.0,1.07,2019-06-12
unh,buy,8000.0,240.08,8000.0,1,2019-06-12
wfc,buy,16000.0,42.79,16000.0,1.0,2019-06-12
pba,buy,32500.0,29.1,32500.0,1,2019-06-12
ceqp,buy,32500.0,26.0,32500.0,1,2019-06-12
fdx,buy,14560.0,157.8,16000.0,0.82,2019-06-12
dis,sell,33475.0,136.09,32500.0,1.02,2019-06-12
unh,sell,8000.0,240.08,8000.0,1.0,2019-06-12
ge,buy,16080.0,80.17,16000.0,1.01,2019-06-12
wab,buy,8000.0,66.84,8000.0,1,2019-06-12
fdx,buy,22560.0,157.8,24000.0,0.91,2019-06-12
gpk,buy,16320.0,13.32,16000.0,1.04,2019-06-12
mndt,buy,8000.0,14.58,8000.0,1,2019-06-12
mndt,buy,16000.0,14.58,16000.0,1.0,2019-06-12
glw,buy,16000.0,29.03,16000.0,1.0,2019-06-12
fdx,buy,30560.0,157.8,32000.0,0.94,2019-06-12
fdx,buy,38560.0,157.8,40000.0,0.95,2019-06-12
glw,buy,24000.0,29.03,24000.0,1.0,2019-06-12
algn,buy,15840.0,316.71,16000.0,0.98,2019-06-12
v,sell,24500.0,169.28,24500.0,1.0,2019-06-12
rtlr,sell,8000.0,16.62,8000.0,1.05,2019-07-12
rtlr,sell,8000.0,16.62,8000.0,1.0,2019-07-12
rtlr,sell,8000.0,16.62,8000.0,1.0,2019-07-12
pba,buy,42125.0,30.62,40500.0,1.05,2019-07-12
ceqp,buy,41475.0,26.84,40500.0,1.03,2019-07-12
pagp,buy,8000.0,20.46,8000.0,1,2019-07-12
sun,buy,8000.0,24.43,8000.0,1,2019-07-12
flt,sell,8000.0,292.29,8000.0,1.1,2019-07-12
grmn,sell,8000.0,75.07,8000.0,1.02,2019-07-12
uri,sell,8000.0,131.37,8000.0,0.98,2019-07-12
azpn,sell,8000.0,130.62,8000.0,1.11,2019-07-12
clr,sell,8000.0,41.49,8000.0,1.01,2019-07-12
zen,sell,8000.0,93.69,8000.0,1.07,2019-07-12
amzn,sell,9193.600000000002,2035.8,8000.0,1.07,2019-07-12
cmg,sell,8000.0,743.01,8000.0,1.05,2019-07-12
leg,sell,8000.0,34.43,8000.0,1.02,2019-07-12
cah,sell,8000.0,44.65,8000.0,1.0,2019-07-12
sq,sell,8000.0,78.37,8000.0,1.18,2019-07-12
splk,sell,8000.0,138.09,8000.0,1.03,2019-07-12
abmd,sell,7069.6,255.81,8000.0,0.94,2019-07-12
algn,sell,6572.800000000001,290.78,8000.0,0.91,2019-07-12
wday,sell,8000.0,224.43,8000.0,1.1,2019-07-12
ctxs,sell,8000.0,97.3,8000.0,1.04,2019-07-12
hpq,sell,8892.0,19.01,8000.0,1.06,2019-07-12
vrtx,sell,8564.8,178.86,8000.0,1.04,2019-07-12
fb,sell,9628.0,203.8,8000.0,1.1,2019-07-12
ftnt,sell,8000.0,81.05,8000.0,0.99,2019-07-12
rost,sell,9052.0,101.98,8000.0,1.07,2019-07-12
orly,sell,8000.0,389.2,8000.0,1.06,2019-07-12
now,sell,8000.0,302.63,8000.0,1.1,2019-07-12
qcom,sell,8000.0,70.68,8000.0,0.91,2019-07-12
wat,sell,8000.0,217.27,8000.0,1.0,2019-07-12
pxd,sell,8000.0,134.76,8000.0,1.0,2019-07-12
tdg,sell,8000.0,437.36,8000.0,1.04,2019-07-12
a,sell,8000.0,72.47,8000.0,0.96,2019-07-12
hal,sell,8000.0,22.46,8000.0,1.07,2019-07-12
aptv,sell,8000.0,76.94,8000.0,1.02,2019-07-12
oxy,sell,8000.0,46.78,8000.0,1.03,2019-07-12
vfc,sell,8000.0,81.59,8000.0,1.0,2019-07-12
mkc,sell,8000.0,75.85,8000.0,1.01,2019-07-12
ew,sell,8000.0,63.73,8000.0,1.05,2019-07-12
kr,sell,8000.0,20.41,8000.0,0.89,2019-07-12
slb,sell,8000.0,37.35,8000.0,1.13,2019-07-12
mtd,sell,8000.0,858.48,8000.0,1.16,2019-07-12
antm,sell,9712.0,294.66,8000.0,1.11,2019-07-12
biib,sell,8160.0,232.14,8000.0,1.01,2019-07-12
usb,sell,8000.0,48.72,8000.0,1.01,2019-07-12
hum,sell,8000.0,271.76,8000.0,1.13,2019-07-12
alny,buy,75000.0,74.11,75000.0,1,2019-07-12
exas,buy,75000.0,120.73,75000.0,1,2019-07-12
mrk,buy,175000.0,74.66,175000.0,1,2019-07-12
pfe,buy,183160.0,37.6,183000.0,1.02,2019-07-12
vz,buy,183240.0,51.29,183000.0,1.03,2019-07-12
amzn,buy,84193.6,2035.8,83000.0,1.15,2019-07-12
unp,buy,83160.0,162.76,83000.0,1.02,2019-07-12
cost,buy,83560.0,264.68,83000.0,1.07,2019-07-12
dis,buy,110148.75,142.69,107500.0,1.08,2019-07-12
orcl,buy,75000.0,57.51,75000.0,1,2019-07-12
xom,buy,83240.0,65.27,83000.0,1.03,2019-07-12
pm,buy,75000.0,69.45,75000.0,1,2019-07-12
nke,buy,75000.0,85.52,75000.0,1,2019-07-12
intc,buy,75000.0,45.91,75000.0,1,2019-07-12
googl,buy,82840.0,1153.24,83000.0,0.98,2019-07-12
cvs,buy,115576.75,51.22,115500.0,1.0,2019-07-12
csx,buy,75000.0,24.87,75000.0,1,2019-07-12
abbv,buy,104250.0,59.8,107500.0,0.9,2019-07-12
axp,buy,83160.0,122.02,83000.0,1.02,2019-07-12
ko,buy,75000.0,47.86,75000.0,1,2019-07-12
ci,buy,103665.0,182.45,99500.0,1.17,2019-07-12
nsc,buy,82920.0,192.44,83000.0,0.99,2019-07-12
iqv,buy,84440.0,159.34,83000.0,1.18,2019-07-12
eog,buy,106200.0,81.85,107500.0,0.96,2019-07-12
dov,buy,8000.0,94.29,8000.0,1,2019-07-12
nclh,buy,8000.0,49.65,8000.0,1,2019-07-12
fl,buy,8000.0,37.94,8000.0,1,2019-07-12
hog,buy,8000.0,33.75,8000.0,1,2019-07-12
bby,buy,8000.0,67.39,8000.0,1,2019-07-12
oke,buy,8000.0,56.36,8000.0,1,2019-07-12
anet,buy,8000.0,67.6,8000.0,1,2019-07-12
blue,buy,8000.0,86.27,8000.0,1,2019-07-12
wll,buy,14080.0,18.03,16000.0,0.76,2019-07-12
uhs,buy,8000.0,131.08,8000.0,1,2019-07-12
nwl,buy,8000.0,13.51,8000.0,1,2019-07-12
alk,buy,8000.0,61.91,8000.0,1,2019-07-12
wlk,buy,8000.0,65.41,8000.0,1,2019-07-12
sm,buy,8000.0,11.48,8000.0,1,2019-07-12
dhi,buy,8000.0,43.35,8000.0,1,2019-07-12
msci,buy,8000.0,232.65,8000.0,1,2019-07-12
uber,buy,8000.0,43.7,8000.0,1,2019-07-12
nwsa,buy,8000.0,12.94,8000.0,1,2019-07-12
ftv,buy,16000.0,65.68,16000.0,1.0,2019-07-12
fwonk,buy,8000.0,38.58,8000.0,1,2019-07-12
mur,buy,8000.0,22.6,8000.0,1,2019-07-12
abt,buy,16400.0,81.67,16000.0,1.05,2019-07-12
aap,buy,8000.0,153.52,8000.0,1,2019-07-12
ba,buy,24321.6,352.86,24000.0,1.02,2019-07-12
hbi,buy,8000.0,14.62,8000.0,1,2019-07-12
snps,buy,8000.0,137.85,8000.0,1,2019-07-12
rop,buy,16160.0,369.72,16000.0,1.02,2019-07-12
nktr,buy,8000.0,34.79,8000.0,1,2019-07-12
pki,buy,8000.0,95.19,8000.0,1,2019-07-12
mco,buy,8000.0,198.44,8000.0,1,2019-07-12
keys,buy,24848.0,88.95,24000.0,1.05,2019-07-12
rig,buy,8000.0,6.47,8000.0,1,2019-07-12
glw,buy,33200.0,30.35,32000.0,1.05,2019-07-12
ebay,buy,8000.0,38.91,8000.0,1,2019-07-12
wrk,buy,8000.0,34.55,8000.0,1,2019-07-12
hsy,buy,8000.0,130.95,8000.0,1,2019-07-12
bwa,buy,8000.0,37.41,8000.0,1,2019-07-12
cf,buy,8000.0,40.9,8000.0,1,2019-07-12
qrtea,buy,8000.0,8.06,8000.0,1,2019-07-12
rmd,buy,8000.0,121.2,8000.0,1,2019-07-12
mnst,buy,15920.0,65.03,16000.0,0.99,2019-07-12
nvda,buy,8000.0,39.86,8000.0,1,2019-07-12
lulu,buy,8000.0,184.41,8000.0,1,2019-07-12
nov,buy,8000.0,21.8,8000.0,1,2019-07-12
wec,buy,8000.0,79.69,8000.0,1,2019-07-12
mlm,buy,8000.0,221.07,8000.0,1,2019-07-12
udr,buy,8000.0,43.12,8000.0,1,2019-07-12
ph,buy,8000.0,156.68,8000.0,1,2019-07-12
glw,buy,41200.0,30.35,40000.0,1.04,2019-07-12
bll,buy,16480.0,68.92,16000.0,1.06,2019-07-12
mar,buy,16400.0,140.66,16000.0,1.05,2019-07-12
emn,buy,8000.0,68.49,8000.0,1,2019-07-12
sgen,buy,8000.0,66.25,8000.0,1,2019-07-12
ccep,buy,8000.0,53.47,8000.0,1,2019-07-12
fmc,buy,8000.0,77.9,8000.0,1,2019-07-12
nem,buy,8000.0,36.73,8000.0,1,2019-07-12
lumn,buy,8000.0,10.72,8000.0,1,2019-07-12
tmus,buy,8000.0,78.63,8000.0,1,2019-07-12
mcd,buy,8000.0,201.38,8000.0,1,2019-07-12
lbrda,buy,16320.0,106.16,16000.0,1.04,2019-07-12
ice,buy,16400.0,87.65,16000.0,1.05,2019-07-12
uaa,buy,8000.0,26.42,8000.0,1,2019-07-12
meli,buy,8000.0,633.33,8000.0,1,2019-07-12
chrw,buy,8000.0,78.38,8000.0,1,2019-07-12
wm,buy,8000.0,112.95,8000.0,1,2019-07-12
disca,buy,16960.0,31.65,16000.0,1.12,2019-07-12
kdp,buy,8000.0,27.71,8000.0,1,2019-07-12
alb,buy,8000.0,68.01,8000.0,1,2019-07-12
aep,buy,8000.0,82.89,8000.0,1,2019-07-12
akam,buy,8000.0,81.73,8000.0,1,2019-07-12
fti,buy,8000.0,18.19,8000.0,1,2019-07-12
cdns,buy,8000.0,75.1,8000.0,1,2019-07-12
rcl,buy,8000.0,108.26,8000.0,1,2019-07-12
ntap,buy,15200.0,56.25,16000.0,0.9,2019-07-12
abc,buy,8000.0,85.34,8000.0,1,2019-07-12
aal,buy,8000.0,32.6,8000.0,1,2019-07-12
reg,buy,8000.0,63.5,8000.0,1,2019-07-12
msi,buy,17280.0,164.74,16000.0,1.16,2019-07-12
m,buy,8000.0,19.17,8000.0,1,2019-07-12
hrl,buy,8000.0,38.55,8000.0,1,2019-07-12
exr,buy,8000.0,103.19,8000.0,1,2019-07-12
dal,buy,25178.4,58.25,24000.0,1.07,2019-07-12
cat,buy,16240.0,124.86,16000.0,1.03,2019-07-12
jbht,buy,8000.0,86.09,8000.0,1,2019-07-12
aph,buy,16320.0,47.38,16000.0,1.04,2019-07-12
stz,buy,8000.0,193.73,8000.0,1,2019-07-12
mro,buy,16240.0,13.41,16000.0,1.03,2019-07-12
k,buy,8000.0,49.61,8000.0,1,2019-07-12
mos,buy,8000.0,22.45,8000.0,1,2019-07-12
gpk,buy,24483.2,13.39,24000.0,1.03,2019-07-12
yum,buy,8000.0,106.26,8000.0,1,2019-07-12
bkr,buy,8000.0,23.06,8000.0,1,2019-07-12
tpr,buy,8000.0,27.13,8000.0,1,2019-07-12
chtr,buy,25056.0,411.7,24000.0,1.07,2019-07-12
hes,buy,8000.0,60.46,8000.0,1,2019-07-12
tap,buy,8000.0,53.2,8000.0,1,2019-07-12
fis,buy,16320.0,124.5,16000.0,1.04,2019-07-12
twtr,buy,8000.0,37.47,8000.0,1,2019-07-12
vmw,buy,8000.0,138.8,8000.0,1,2019-07-12
mndt,buy,25120.0,15.67,24000.0,1.07,2019-07-12
tsco,buy,8000.0,108.46,8000.0,1,2019-07-12
bmrn,buy,8000.0,85.11,8000.0,1,2019-07-12
odfl,buy,8000.0,94.37,8000.0,1,2019-07-12
vrsn,buy,8000.0,220.0,8000.0,1,2019-07-12
apa,buy,8000.0,26.2,8000.0,1,2019-07-12
emr,buy,15680.0,59.26,16000.0,0.96,2019-07-12
mndt,buy,33120.0,15.67,32000.0,1.05,2019-07-12
lmt,buy,8000.0,343.07,8000.0,1,2019-07-12
cme,buy,25472.0,194.49,24000.0,1.09,2019-07-12
expd,buy,8000.0,69.93,8000.0,1,2019-07-12
syy,buy,8000.0,67.35,8000.0,1,2019-07-12
gpc,buy,8000.0,95.83,8000.0,1,2019-07-12
expe,buy,8000.0,132.67,8000.0,1,2019-07-12
shw,buy,8000.0,151.56,8000.0,1,2019-07-12
exc,buy,16080.0,31.82,16000.0,1.01,2019-07-12
apd,buy,8000.0,212.76,8000.0,1,2019-07-12
tgt,buy,8000.0,81.54,8000.0,1,2019-07-12
msft,buy,98220.0,136.21,91000.0,1.09,2019-07-12
glw,buy,49200.0,30.35,48000.0,1.03,2019-07-12
mo,buy,15760.0,40.27,16000.0,0.97,2019-07-12
ip,buy,15920.0,35.92,16000.0,0.99,2019-07-12
nue,buy,8000.0,50.27,8000.0,1,2019-07-12
adm,buy,16320.0,38.58,16000.0,1.04,2019-07-12
mdlz,buy,16240.0,53.44,16000.0,1.03,2019-07-12
ttwo,buy,8000.0,116.61,8000.0,1,2019-07-12
rl,buy,8000.0,104.63,8000.0,1,2019-07-12
mdt,buy,25299.2,94.32,24000.0,1.08,2019-07-12
swk,buy,16240.0,137.92,16000.0,1.03,2019-07-12
lyv,buy,8000.0,69.34,8000.0,1,2019-07-12
luv,buy,15920.0,51.31,16000.0,0.99,2019-07-12
nflx,buy,8000.0,384.54,8000.0,1,2019-07-12
vtrs,buy,16720.0,19.0,16000.0,1.09,2019-07-12
unh,buy,83400.0,251.72,83000.0,1.05,2019-07-12
zts,buy,16240.0,112.79,16000.0,1.03,2019-07-12
noc,buy,8000.0,309.58,8000.0,1,2019-07-12
glw,buy,57200.0,30.35,56000.0,1.02,2019-07-12
bmy,buy,23998.4,42.41,24000.0,1.0,2019-07-12
mpc,buy,8000.0,48.63,8000.0,1,2019-07-12
f,buy,16240.0,9.54,16000.0,1.03,2019-07-12
wmt,buy,8000.0,109.28,8000.0,1,2019-07-12
adsk,buy,8000.0,174.8,8000.0,1,2019-07-12
fdx,buy,46560.0,157.89,48000.0,0.96,2019-07-12
bk,buy,8000.0,39.81,8000.0,1,2019-07-12
psx,buy,8000.0,86.5,8000.0,1,2019-07-12
omc,buy,8000.0,76.04,8000.0,1,2019-07-12
ilmn,buy,8000.0,371.31,8000.0,1,2019-07-12
nee,buy,16960.0,49.5,16000.0,1.12,2019-07-12
wba,buy,25044.8,51.41,24000.0,1.07,2019-07-12
aapl,buy,16240.0,49.87,16000.0,1.03,2019-07-12
ms,buy,8000.0,37.5,8000.0,1,2019-07-12
cmcsa,buy,42775.0,42.08,40500.0,1.07,2019-07-12
hca,buy,16800.0,136.65,16000.0,1.1,2019-07-12
pep,buy,16160.0,127.17,16000.0,1.02,2019-07-12
jpm,buy,16080.0,105.01,16000.0,1.01,2019-07-12
oxy,buy,40500.0,46.78,40500.0,1.0,2019-07-12
txn,buy,40660.0,110.22,40500.0,1.02,2019-07-12
isrg,buy,32500.0,179.27,32500.0,1,2019-07-12
wfc,buy,48820.0,43.61,48500.0,1.02,2019-07-12
adp,buy,32500.0,158.43,32500.0,1,2019-07-12
pg,buy,40820.0,106.94,40500.0,1.04,2019-07-12
hd,buy,8000.0,202.33,8000.0,1,2019-07-12
bac,buy,8000.0,27.26,8000.0,1,2019-07-12
lin,buy,16960.0,195.03,16000.0,1.12,2019-07-12
jnj,buy,48660.0,131.34,48500.0,1.01,2019-07-12
cop,buy,40740.0,55.93,40500.0,1.03,2019-07-12
ups,buy,40660.0,94.04,40500.0,1.02,2019-07-12
adbe,buy,41220.0,310.17,40500.0,1.09,2019-07-12
t,buy,41620.0,19.92,40500.0,1.14,2019-07-12
tmo,buy,32500.0,297.2,32500.0,1,2019-07-12
glw,sell,49200.0,30.35,48000.0,1.02,2019-07-12
glw,sell,41200.0,30.35,40000.0,1.02,2019-07-12
bwxt,buy,8000.0,50.24,8000.0,1,2019-07-12
fdx,sell,38560.0,157.89,40000.0,0.97,2019-07-12
